setup,path,method,cohort,quantity,value,macro
A,static,ranked,TCGA,iso_Resistance_OFF,8,BBCNAStaticRankedTcgaIsoResistanceOff
A,static,ranked,TCGA,iso_Apoptosis_ON,86,BBCNAStaticRankedTcgaIsoApoptosisOn
A,static,ranked,TCGA,iso_Proliferation_OFF,94,BBCNAStaticRankedTcgaIsoProliferationOff
A,static,ranked,TCGA,N,1082,BBCNAStaticRankedTcgaN
A,static,ranked,TCGA,seq_Resistance_OFF,8,BBCNAStaticRankedTcgaSeqResistanceOff
A,static,ranked,TCGA,seq_Apoptosis_ON,9,BBCNAStaticRankedTcgaSeqApoptosisOn
A,static,ranked,TCGA,seq_Proliferation_OFF,3,BBCNAStaticRankedTcgaSeqProliferationOff
A,static,ranked,TCGA,seq_all_three,3,BBCNAStaticRankedTcgaSeqAllThree
A,cde,ranked,TCGA,stagepass_Resistance_OFF,14,BBCNACdeRankedTcgaStagepassResistanceOff
A,cde,ranked,TCGA,stagepass_Apoptosis_ON,31,BBCNACdeRankedTcgaStagepassApoptosisOn
A,cde,ranked,TCGA,stagepass_Proliferation_OFF,65,BBCNACdeRankedTcgaStagepassProliferationOff
A,cde,ranked,TCGA,stagepass_Terminal,4,BBCNACdeRankedTcgaStagepassTerminal
A,static,stabilize,TCGA,iso_Resistance_OFF,5,BBCNAStaticStabilizeTcgaIsoResistanceOff
A,static,stabilize,TCGA,iso_Apoptosis_ON,91,BBCNAStaticStabilizeTcgaIsoApoptosisOn
A,static,stabilize,TCGA,iso_Proliferation_OFF,85,BBCNAStaticStabilizeTcgaIsoProliferationOff
A,static,stabilize,TCGA,N,1082,BBCNAStaticStabilizeTcgaN
A,static,stabilize,TCGA,seq_Resistance_OFF,5,BBCNAStaticStabilizeTcgaSeqResistanceOff
A,static,stabilize,TCGA,seq_Apoptosis_ON,11,BBCNAStaticStabilizeTcgaSeqApoptosisOn
A,static,stabilize,TCGA,seq_Proliferation_OFF,2,BBCNAStaticStabilizeTcgaSeqProliferationOff
A,static,stabilize,TCGA,seq_all_three,2,BBCNAStaticStabilizeTcgaSeqAllThree
A,cde,stabilize,TCGA,stagepass_Resistance_OFF,8,BBCNACdeStabilizeTcgaStagepassResistanceOff
A,cde,stabilize,TCGA,stagepass_Apoptosis_ON,27,BBCNACdeStabilizeTcgaStagepassApoptosisOn
A,cde,stabilize,TCGA,stagepass_Proliferation_OFF,39,BBCNACdeStabilizeTcgaStagepassProliferationOff
A,cde,stabilize,TCGA,stagepass_Terminal,3,BBCNACdeStabilizeTcgaStagepassTerminal
A,static,ranked,METABRIC,iso_Resistance_OFF,4,BBCNAStaticRankedMetabricIsoResistanceOff
A,static,ranked,METABRIC,iso_Apoptosis_ON,85,BBCNAStaticRankedMetabricIsoApoptosisOn
A,static,ranked,METABRIC,iso_Proliferation_OFF,95,BBCNAStaticRankedMetabricIsoProliferationOff
A,static,ranked,METABRIC,N,1980,BBCNAStaticRankedMetabricN
A,static,ranked,METABRIC,seq_Resistance_OFF,4,BBCNAStaticRankedMetabricSeqResistanceOff
A,static,ranked,METABRIC,seq_Apoptosis_ON,5,BBCNAStaticRankedMetabricSeqApoptosisOn
A,static,ranked,METABRIC,seq_Proliferation_OFF,2,BBCNAStaticRankedMetabricSeqProliferationOff
A,static,ranked,METABRIC,seq_all_three,2,BBCNAStaticRankedMetabricSeqAllThree
A,cde,ranked,METABRIC,stagepass_Resistance_OFF,7,BBCNACdeRankedMetabricStagepassResistanceOff
A,cde,ranked,METABRIC,stagepass_Apoptosis_ON,33,BBCNACdeRankedMetabricStagepassApoptosisOn
A,cde,ranked,METABRIC,stagepass_Proliferation_OFF,61,BBCNACdeRankedMetabricStagepassProliferationOff
A,cde,ranked,METABRIC,stagepass_Terminal,1,BBCNACdeRankedMetabricStagepassTerminal
A,static,stabilize,METABRIC,iso_Resistance_OFF,3,BBCNAStaticStabilizeMetabricIsoResistanceOff
A,static,stabilize,METABRIC,iso_Apoptosis_ON,89,BBCNAStaticStabilizeMetabricIsoApoptosisOn
A,static,stabilize,METABRIC,iso_Proliferation_OFF,91,BBCNAStaticStabilizeMetabricIsoProliferationOff
A,static,stabilize,METABRIC,N,1980,BBCNAStaticStabilizeMetabricN
A,static,stabilize,METABRIC,seq_Resistance_OFF,3,BBCNAStaticStabilizeMetabricSeqResistanceOff
A,static,stabilize,METABRIC,seq_Apoptosis_ON,6,BBCNAStaticStabilizeMetabricSeqApoptosisOn
A,static,stabilize,METABRIC,seq_Proliferation_OFF,1,BBCNAStaticStabilizeMetabricSeqProliferationOff
A,static,stabilize,METABRIC,seq_all_three,1,BBCNAStaticStabilizeMetabricSeqAllThree
A,cde,stabilize,METABRIC,stagepass_Resistance_OFF,4,BBCNACdeStabilizeMetabricStagepassResistanceOff
A,cde,stabilize,METABRIC,stagepass_Apoptosis_ON,29,BBCNACdeStabilizeMetabricStagepassApoptosisOn
A,cde,stabilize,METABRIC,stagepass_Proliferation_OFF,40,BBCNACdeStabilizeMetabricStagepassProliferationOff
A,cde,stabilize,METABRIC,stagepass_Terminal,1,BBCNACdeStabilizeMetabricStagepassTerminal
A,static,ranked,ISPY2,iso_Resistance_OFF,8,BBCNAStaticRankedIspyTwoIsoResistanceOff
A,static,ranked,ISPY2,iso_Apoptosis_ON,81,BBCNAStaticRankedIspyTwoIsoApoptosisOn
A,static,ranked,ISPY2,iso_Proliferation_OFF,94,BBCNAStaticRankedIspyTwoIsoProliferationOff
A,static,ranked,ISPY2,N,988,BBCNAStaticRankedIspyTwoN
A,static,ranked,ISPY2,seq_Resistance_OFF,8,BBCNAStaticRankedIspyTwoSeqResistanceOff
A,static,ranked,ISPY2,seq_Apoptosis_ON,9,BBCNAStaticRankedIspyTwoSeqApoptosisOn
A,static,ranked,ISPY2,seq_Proliferation_OFF,4,BBCNAStaticRankedIspyTwoSeqProliferationOff
A,static,ranked,ISPY2,seq_all_three,3,BBCNAStaticRankedIspyTwoSeqAllThree
A,cde,ranked,ISPY2,stagepass_Resistance_OFF,13,BBCNACdeRankedIspyTwoStagepassResistanceOff
A,cde,ranked,ISPY2,stagepass_Apoptosis_ON,39,BBCNACdeRankedIspyTwoStagepassApoptosisOn
A,cde,ranked,ISPY2,stagepass_Proliferation_OFF,60,BBCNACdeRankedIspyTwoStagepassProliferationOff
A,cde,ranked,ISPY2,stagepass_Terminal,4,BBCNACdeRankedIspyTwoStagepassTerminal
A,static,stabilize,ISPY2,iso_Resistance_OFF,5,BBCNAStaticStabilizeIspyTwoIsoResistanceOff
A,static,stabilize,ISPY2,iso_Apoptosis_ON,87,BBCNAStaticStabilizeIspyTwoIsoApoptosisOn
A,static,stabilize,ISPY2,iso_Proliferation_OFF,91,BBCNAStaticStabilizeIspyTwoIsoProliferationOff
A,static,stabilize,ISPY2,N,988,BBCNAStaticStabilizeIspyTwoN
A,static,stabilize,ISPY2,seq_Resistance_OFF,5,BBCNAStaticStabilizeIspyTwoSeqResistanceOff
A,static,stabilize,ISPY2,seq_Apoptosis_ON,12,BBCNAStaticStabilizeIspyTwoSeqApoptosisOn
A,static,stabilize,ISPY2,seq_Proliferation_OFF,2,BBCNAStaticStabilizeIspyTwoSeqProliferationOff
A,static,stabilize,ISPY2,seq_all_three,2,BBCNAStaticStabilizeIspyTwoSeqAllThree
A,cde,stabilize,ISPY2,stagepass_Resistance_OFF,8,BBCNACdeStabilizeIspyTwoStagepassResistanceOff
A,cde,stabilize,ISPY2,stagepass_Apoptosis_ON,35,BBCNACdeStabilizeIspyTwoStagepassApoptosisOn
A,cde,stabilize,ISPY2,stagepass_Proliferation_OFF,43,BBCNACdeStabilizeIspyTwoStagepassProliferationOff
A,cde,stabilize,ISPY2,stagepass_Terminal,3,BBCNACdeStabilizeIspyTwoStagepassTerminal
B,routing,switch,TCGA,apop_pct,50,BBCNBRoutingSwitchTcgaApopPct
B,routing,switch,TCGA,surv_pct,36,BBCNBRoutingSwitchTcgaSurvPct
B,routing,switch,TCGA,mixed_pct,14,BBCNBRoutingSwitchTcgaMixedPct
B,routing,switch,TCGA,surv_uncoupled_pct,95,BBCNBRoutingSwitchTcgaSurvUncoupledPct
B,routing,switch,TCGA,n,1082,BBCNBRoutingSwitchTcgaN
B,routing,switch,TCGA,U_pct,37,BBCNBRoutingSwitchTcgaUPct
B,routing,switch,TCGA,resist_surv_z,0.8,BBCNBRoutingSwitchTcgaResistSurvZ
B,routing,switch,TCGA,resist_apop_z,0.32,BBCNBRoutingSwitchTcgaResistApopZ
B,kernel,ranked,TCGA,flip_pct,47,BBCNBKernelRankedTcgaFlipPct
B,kernel,ranked,TCGA,ker_designed,428,BBCNBKernelRankedTcgaKerDesigned
B,kernel,ranked,TCGA,ker_success,202,BBCNBKernelRankedTcgaKerSuccess
B,kernel,ranked,TCGA,top_node,PIK3CA,BBCNBKernelRankedTcgaTopNode
B,kernel,stabilize,TCGA,flip_pct,47,BBCNBKernelStabilizeTcgaFlipPct
B,kernel,stabilize,TCGA,ker_designed,428,BBCNBKernelStabilizeTcgaKerDesigned
B,kernel,stabilize,TCGA,ker_success,202,BBCNBKernelStabilizeTcgaKerSuccess
B,kernel,stabilize,TCGA,top_node,PIK3CA,BBCNBKernelStabilizeTcgaTopNode
B,routing,switch,METABRIC,apop_pct,48,BBCNBRoutingSwitchMetabricApopPct
B,routing,switch,METABRIC,surv_pct,29,BBCNBRoutingSwitchMetabricSurvPct
B,routing,switch,METABRIC,mixed_pct,22,BBCNBRoutingSwitchMetabricMixedPct
B,routing,switch,METABRIC,surv_uncoupled_pct,90,BBCNBRoutingSwitchMetabricSurvUncoupledPct
B,routing,switch,METABRIC,n,1980,BBCNBRoutingSwitchMetabricN
B,routing,switch,METABRIC,U_pct,29,BBCNBRoutingSwitchMetabricUPct
B,routing,switch,METABRIC,resist_surv_z,0.2,BBCNBRoutingSwitchMetabricResistSurvZ
B,routing,switch,METABRIC,resist_apop_z,0.11,BBCNBRoutingSwitchMetabricResistApopZ
B,kernel,ranked,METABRIC,flip_pct,42,BBCNBKernelRankedMetabricFlipPct
B,kernel,ranked,METABRIC,ker_designed,890,BBCNBKernelRankedMetabricKerDesigned
B,kernel,ranked,METABRIC,ker_success,373,BBCNBKernelRankedMetabricKerSuccess
B,kernel,ranked,METABRIC,top_node,PIK3CA,BBCNBKernelRankedMetabricTopNode
B,kernel,stabilize,METABRIC,flip_pct,42,BBCNBKernelStabilizeMetabricFlipPct
B,kernel,stabilize,METABRIC,ker_designed,890,BBCNBKernelStabilizeMetabricKerDesigned
B,kernel,stabilize,METABRIC,ker_success,373,BBCNBKernelStabilizeMetabricKerSuccess
B,kernel,stabilize,METABRIC,top_node,PIK3CA,BBCNBKernelStabilizeMetabricTopNode
B,routing,switch,ISPY2,apop_pct,51,BBCNBRoutingSwitchIspyTwoApopPct
B,routing,switch,ISPY2,surv_pct,25,BBCNBRoutingSwitchIspyTwoSurvPct
B,routing,switch,ISPY2,mixed_pct,23,BBCNBRoutingSwitchIspyTwoMixedPct
B,routing,switch,ISPY2,surv_uncoupled_pct,89,BBCNBRoutingSwitchIspyTwoSurvUncoupledPct
B,routing,switch,ISPY2,n,988,BBCNBRoutingSwitchIspyTwoN
B,routing,switch,ISPY2,U_pct,26,BBCNBRoutingSwitchIspyTwoUPct
B,routing,switch,ISPY2,resist_surv_z,0.32,BBCNBRoutingSwitchIspyTwoResistSurvZ
B,routing,switch,ISPY2,resist_apop_z,0.08,BBCNBRoutingSwitchIspyTwoResistApopZ
B,kernel,ranked,ISPY2,flip_pct,46,BBCNBKernelRankedIspyTwoFlipPct
B,kernel,ranked,ISPY2,ker_designed,430,BBCNBKernelRankedIspyTwoKerDesigned
B,kernel,ranked,ISPY2,ker_success,198,BBCNBKernelRankedIspyTwoKerSuccess
B,kernel,ranked,ISPY2,top_node,PIK3CA,BBCNBKernelRankedIspyTwoTopNode
B,kernel,stabilize,ISPY2,flip_pct,46,BBCNBKernelStabilizeIspyTwoFlipPct
B,kernel,stabilize,ISPY2,ker_designed,430,BBCNBKernelStabilizeIspyTwoKerDesigned
B,kernel,stabilize,ISPY2,ker_success,198,BBCNBKernelStabilizeIspyTwoKerSuccess
B,kernel,stabilize,ISPY2,top_node,PIK3CA,BBCNBKernelStabilizeIspyTwoTopNode
